k,inertia,silhouette,delta_inertia,inertia_drop_pct
2,260643.20560089283,0.10505978311034739,0.0,0.0
3,239524.53005981474,0.10363718725607596,-21118.67554107809,8.102522946029078
4,221776.57609336445,0.11300575370138477,-17747.953966450295,7.4096602807312575
5,208697.35408601695,0.11374856873257332,-13079.222007347504,5.8974767478786205
6,196981.0836573931,0.10184923416379933,-11716.270428623859,5.614000464900417
7,187317.08496943503,0.10676683713752674,-9663.998687958054,4.906054179682824
8,178112.36206537738,0.10947589589029517,-9204.72290405765,4.913979365822186
9,170149.890268457,0.11047408619304133,-7962.4717969203775,4.470476784760002
10,165442.32917867968,0.1011282446133449,-4707.5610897773295,2.766714149712287
11,162866.44383144326,0.09723927479118977,-2575.8853472364135,1.5569687395143155
12,158244.65140420356,0.09285915904518598,-4621.792427239707,2.8377806492926054
13,155569.08090830612,0.09587099759937999,-2675.5704958974384,1.6907809977496437
14,152785.5754333567,0.08954212501984529,-2783.50547494943,1.7892408045979615
15,150625.78340180567,0.08647325209411749,-2159.7920315510128,1.4136099074962016
16,148630.35586493596,0.08382063671209153,-1995.4275368697126,1.3247582796278368
17,146789.96072163855,0.08075820515408723,-1840.3951432974136,1.2382363835351544
18,144782.33143715543,0.0788527895768455,-2007.6292844831187,1.367688413167598
19,143016.8520654605,0.0787292841742169,-1765.4793716949353,1.219402501790257
20,141579.14561633015,0.07891437813605283,-1437.7064491303463,1.0052706575252341
21,140026.91095525215,0.08195647005152425,-1552.2346610779932,1.0963723889706494
22,138652.69922178244,0.07684047085448444,-1374.2117334697105,0.981391165523077
23,137612.76961124165,0.0772820678820125,-1039.9296105407993,0.7500247859418705
24,136552.84190107806,0.07805079175124216,-1059.9277101635817,0.7702248222733218
25,135339.96579061323,0.08063533533415236,-1212.8761104648293,0.8882100830559527
26,134490.24816648476,0.07162532355131994,-849.717624128476,0.627839396267536
27,133468.07035961805,0.07140562058441965,-1022.1778068667045,0.7600386056254101
28,132310.74176591507,0.07894603043881428,-1157.3285937029868,0.8671201963021313
29,131250.96520231385,0.06930248202224888,-1059.776563601219,0.8009754532826836
30,130352.37963343089,0.07676140619940432,-898.5855688829615,0.6846315891832544
